,交易日期,账户可用资金,持仓市值,印花税,券商佣金,总资产,净值,手续费,涨跌幅,杠杆,实际杠杆,净值max2here,净值dd2here
1942,2021-12-22,6993805.694005606,219434023.05,33636.96400000001,8022.785159999999,226427828.74400562,22.642782874400563,41659.74916000001,-0.004168516803326194,1.0,0.9691124287469424,22.73756479531656,-0.004168516803326194
1943,2021-12-23,6569837.348205602,215514120.34,32517.995000000003,7850.3508,222083957.6882056,22.20839576882056,40368.3458,-0.019184351499086816,1.0,0.9704173258771382,22.73756479531656,-0.023272898010828214
1944,2021-12-24,6617633.778325602,207889680.14,26081.601000000002,6249.968879999999,214507313.9183256,21.45073139183256,32331.569880000003,-0.034116123689209576,1.0,0.9691496123957559,22.73756479531656,-0.056595040632894
1945,2021-12-27,6606739.493884006,210411206.0,25198.109930000002,6045.1045116000005,217017945.493884,21.7017945493884,31243.2144416,0.011704177026403473,1.0,0.9695567134835391,22.73756479531656,-0.04555326198087428
1946,2021-12-28,6787482.174324008,212801785.0,27779.951,6641.368560000001,219589267.174324,21.9589267174324,34421.31956,0.01184842882273296,1.0,0.9690901005241952,22.73756479531656,-0.034244567740364995
1947,2021-12-29,6909026.6117240125,212519269.0,23779.584000000006,5688.9786,219428295.61172402,21.942829561172402,29468.562600000005,-0.0007330575153848828,1.0,0.9685135110197937,22.73756479531656,-0.03495252201800669
1948,2021-12-30,6748582.394844015,213445511.0,17293.983000000007,4167.233880000001,220194093.39484403,22.0194093394844,21461.216880000007,0.003489968242177177,1.0,0.9693516647481424,22.73756479531656,-0.031584536967656396
1949,2021-12-31,6726867.2386040175,212394885.0,21574.807,5177.3492400000005,219121752.238604,21.9121752238604,26752.15624,-0.004869981477282903,1.0,0.9693007783577824,22.73756479531656,-0.036300702334938206
1950,2022-01-04,6642668.39184402,219404745.0,57663.164000000004,13840.682760000002,226047413.39184403,22.604741339184404,71503.84676,0.03160645204086632,1.0,0.9706138270189837,22.73756479531656,-0.005841586701470947
1951,2022-01-05,6520810.00540402,217671316.0,30959.977,7440.409440000001,224192126.00540403,22.4192126005404,38400.38644,-0.008207514337817079,1.0,0.9709141881046847,22.73756479531656,-0.014001156132680048
1952,2022-01-06,6841327.14148402,220064377.0,30775.726,7343.137920000001,226905704.14148402,22.690570414148404,38118.86392,0.012103806607439038,1.0,0.969849470433682,22.73756479531656,-0.0020668168113514573
1953,2022-01-07,7106794.779564022,216297975.0,28990.748000000007,6921.61392,223404769.77956402,22.340476977956403,35912.36192000001,-0.015429027556473573,1.0,0.9681887061472484,22.73756479531656,-0.017463955394288577
1954,2022-01-10,6735425.948764023,219158047.0,30224.006999999998,7293.8238,225893472.94876403,22.589347294876404,37517.830799999996,0.011139883770859615,1.0,0.9701831758977307,22.73756479531656,-0.006518618056700731
1955,2022-01-11,6269157.866564025,219359963.0,28973.748,7005.3342,225629120.86656404,22.562912086656404,35979.0822,-0.0011702510867145355,1.0,0.9722147662390105,22.73756479531656,-0.007681240723550586
1956,2022-01-12,6033908.154513621,223282154.02,26256.429,6325.863050400001,229316062.17451364,22.931606217451364,32582.2920504,0.016340715656690596,1.0,0.9736873723659107,22.931606217451364,0.0
1957,2022-01-13,6562550.712713622,223333388.46,31825.489000000005,7569.952800000001,229895939.17271364,22.989593917271364,39395.44180000001,0.0025287238612998753,1.0,0.9714542556239613,22.989593917271364,0.0
1958,2022-01-14,6574960.996673618,218738705.48,35714.128,8564.58804,225313666.4766736,22.53136664766736,44278.71604,-0.01993194274126564,1.0,0.9708186320897036,22.989593917271364,-0.01993194274126564
1959,2022-01-17,6806867.959393618,222360182.64,37415.668999999994,8946.368279999999,229167050.5993936,22.91670505993936,46362.03727999999,0.01710230978429772,1.0,0.9702973532120345,22.989593917271364,-0.0031705152163320482
1960,2022-01-18,6834031.220233616,216029206.2,36118.042,8659.69716,222863237.4202336,22.28632374202336,44777.73916,-0.02750750233365651,1.0,0.9693353138932138,22.989593917271364,-0.03059080459527641
1961,2022-01-19,6753596.3014176125,217968590.0,34739.7068,8342.012016,224722186.30141762,22.47221863014176,43081.718816,0.008341209176992992,1.0,0.9699469090588185,22.989593917271364,-0.022504759718305234
1962,2022-01-20,6561541.185657609,209260160.0,32678.979,7861.136760000001,215821701.18565762,21.582170118565763,40540.11576,-0.03960661500427842,1.0,0.9695973984561768,22.989593917271364,-0.06122003736865689
1963,2022-01-21,6150743.783817608,212351537.0,29872.223,7214.17884,218502280.78381762,21.85022807838176,37086.40184,0.012420343197341532,1.0,0.9718504367013768,22.989593917271364,-0.049560068045988115
1964,2022-01-24,6928246.267731207,211545912.2,37009.348,8783.4480864,218474158.4677312,21.84741584677312,45792.7960864,-0.00012870490864225204,1.0,0.9682880285873511,22.989593917271364,-0.04968239433060018
1965,2022-01-25,6801543.171289208,202808984.64000002,40193.971,9655.775442,209610527.81128922,20.961052781128924,49849.746441999996,-0.04057061356183744,1.0,0.9675515192757275,22.989593917271364,-0.08823736267122406
1966,2022-01-26,6388927.679449212,204516623.53,38195.699,9210.79284,210905551.2094492,21.09055512094492,47406.49184,0.006178236425824268,1.0,0.9697071620788947,22.989593917271364,-0.0826042775335738
1967,2022-01-27,6645964.90264921,199116016.79999998,41303.841,9875.935800000001,205761981.7026492,20.57619817026492,51179.7768,-0.024388023346488152,1.0,0.9677007149345332,22.989593917271364,-0.10497774583105335
1968,2022-01-28,6284674.76260921,204234522.14000002,36038.026,8687.11404,210519196.90260923,21.051919690260924,44725.14004,0.023119991169383125,1.0,0.9701467853997342,22.989593917271364,-0.0842848392182659
1969,2022-02-07,5928338.323329209,206186893.55999994,130801.0846,31415.554680000005,212115231.88332915,21.211523188332915,162216.63928,0.007581422522043413,1.0,0.9720513313886388,22.989593917271364,-0.0773424156745387
